# podwatch paymentUnreachable-window: checkout,payment,email for 720s every 20s -> capture/podwatch-paymentUnreachable-window.jsonl
   t+s  pod                                container     cpu_m   mem_Mi restarts  lastTerminated
     0  checkout-77f464555c-f67td          checkout        2.0     17.0        0  
     0  email-b498b7dc6-xkgsn              email           2.0     50.0        0  
     0  payment-5d6476fcfd-l7c27           payment        13.0     80.0        0  
    20  checkout-77f464555c-f67td          checkout        2.0     17.0        0  
    20  email-b498b7dc6-xkgsn              email           3.0     50.0        0  
    20  payment-5d6476fcfd-l7c27           payment        15.0     80.0        0  
    41  checkout-77f464555c-f67td          checkout        4.0     17.0        0  
    41  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
    41  payment-5d6476fcfd-l7c27           payment        14.0     81.0        0  
    62  checkout-77f464555c-f67td          checkout        5.0     17.0        0  
    62  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
    62  payment-5d6476fcfd-l7c27           payment        15.0     81.0        0  
    83  checkout-77f464555c-f67td          checkout        7.0     16.0        0  
    83  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
    83  payment-5d6476fcfd-l7c27           payment        12.0     81.0        0  
   104  checkout-77f464555c-f67td          checkout        4.0     18.0        0  
   104  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   104  payment-5d6476fcfd-l7c27           payment        14.0     81.0        0  
   125  checkout-77f464555c-f67td          checkout        3.0     17.0        0  
   125  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   125  payment-5d6476fcfd-l7c27           payment        13.0     81.0        0  
   146  checkout-77f464555c-f67td          checkout        3.0     17.0        0  
   146  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   146  payment-5d6476fcfd-l7c27           payment        13.0     81.0        0  
   166  checkout-77f464555c-f67td          checkout        5.0     17.0        0  
   166  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   166  payment-5d6476fcfd-l7c27           payment        14.0     82.0        0  
   187  checkout-77f464555c-f67td          checkout        6.0     17.0        0  
   187  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   187  payment-5d6476fcfd-l7c27           payment        13.0     82.0        0  
   208  checkout-77f464555c-f67td          checkout        7.0     17.0        0  
   208  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   208  payment-5d6476fcfd-l7c27           payment        12.0     82.0        0  
   229  checkout-77f464555c-f67td          checkout        7.0     18.0        0  
   229  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   229  payment-5d6476fcfd-l7c27           payment        14.0     82.0        0  
   249  checkout-77f464555c-f67td          checkout        5.0     17.0        0  
   249  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   249  payment-5d6476fcfd-l7c27           payment        12.0     82.0        0  
   270  checkout-77f464555c-f67td          checkout        8.0     17.0        0  
   270  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   270  payment-5d6476fcfd-l7c27           payment        13.0     82.0        0  
   291  checkout-77f464555c-f67td          checkout        5.0     17.0        0  
   291  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   291  payment-5d6476fcfd-l7c27           payment        13.0     82.0        0  
   312  checkout-77f464555c-f67td          checkout        7.0     17.0        0  
   312  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   312  payment-5d6476fcfd-l7c27           payment        13.0     82.0        0  
   333  checkout-77f464555c-f67td          checkout        7.0     17.0        0  
   333  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   333  payment-5d6476fcfd-l7c27           payment        13.0     82.0        0  
   354  checkout-77f464555c-f67td          checkout        4.0     17.0        0  
   354  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   354  payment-5d6476fcfd-l7c27           payment        13.0     82.0        0  
   374  checkout-77f464555c-f67td          checkout        5.0     17.0        0  
   374  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   374  payment-5d6476fcfd-l7c27           payment        13.0     82.0        0  
   395  checkout-77f464555c-f67td          checkout        3.0     17.0        0  
   395  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   395  payment-5d6476fcfd-l7c27           payment        13.0     82.0        0  
   416  checkout-77f464555c-f67td          checkout        5.0     17.0        0  
